in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
9.59147,0.06496,0.93332,1.82522,0.03788,9.54294,5.43179,1.61228,10000
9.68367,0.06737,0.93109,1.82379,0.03809,9.58127,5.43438,1.60214,10000
9.77587,0.06978,0.92886,1.82236,0.0383,9.61959,5.43443,1.60086,10000
9.86807,0.0722,0.92663,1.82093,0.0385,9.65792,5.43094,1.5968,10000
9.96027,0.07463,0.92413,1.8191,0.0387,9.69624,5.42807,1.60319,10000
10.05247,0.07706,0.92163,1.81726,0.03889,9.73457,5.43215,1.60058,10000
10.14467,0.07922,0.91928,1.81536,0.03911,9.77289,5.42872,1.59824,10000
10.23687,0.08133,0.91696,1.81346,0.03933,9.81122,5.43681,1.60105,10000
10.32906,0.08345,0.91464,1.81156,0.03954,9.84954,5.43451,1.60509,10000
10.42126,0.08559,0.91249,1.80965,0.03977,9.88787,5.4384,1.59991,10000
10.51346,0.08775,0.91049,1.80774,0.04001,9.92619,5.43023,1.60531,10000
10.60566,0.09014,0.90835,1.80581,0.04023,9.96452,5.43569,1.6037,10000
10.69786,0.09283,0.90606,1.80386,0.04043,10.00284,5.43446,1.6049,10000
10.79006,0.09551,0.90376,1.8019,0.04063,10.04117,5.43338,1.59944,10000
10.88226,0.09818,0.90145,1.79997,0.04083,10.07949,5.43005,1.59654,10000
10.97446,0.10071,0.89901,1.79812,0.04103,10.11782,5.43151,1.60102,10000
11.06666,0.10323,0.89658,1.79628,0.04122,10.15614,5.42804,1.60028,10000
11.15886,0.10537,0.89421,1.7947,0.04145,10.19447,5.42631,1.59831,10000
11.25105,0.1075,0.89184,1.79312,0.04167,10.23279,5.43135,1.60372,10000
11.34325,0.10964,0.88946,1.79155,0.0419,10.27112,5.42722,1.60046,10000
11.43545,0.11183,0.88711,1.78992,0.04214,10.30944,5.43284,1.60614,10000
11.52765,0.11406,0.88478,1.78827,0.0424,10.34777,5.43307,1.60622,10000
11.61985,0.11628,0.88264,1.78644,0.04264,10.38609,5.42915,1.60502,10000
11.71205,0.1185,0.88064,1.78449,0.04288,10.42442,5.43313,1.60437,10000
11.80425,0.12071,0.87864,1.78254,0.04311,10.46275,5.42496,1.60657,10000
11.89645,0.12296,0.87663,1.7806,0.04333,10.50107,5.42947,1.6023,10000
11.98865,0.12531,0.87462,1.77866,0.04354,10.5394,5.42999,1.60869,10000
12.08084,0.12769,0.87254,1.77674,0.04374,10.57772,5.42886,1.60246,10000
12.17304,0.13021,0.87016,1.77488,0.04394,10.61605,5.41944,1.60035,10000
12.26524,0.13274,0.86777,1.77302,0.04415,10.65437,5.41977,1.59599,10000
12.35744,0.13526,0.86539,1.77116,0.04435,10.6927,5.42236,1.60439,10000
12.44964,0.13781,0.86297,1.76925,0.04455,10.73102,5.42546,1.60692,10000
12.54184,0.14035,0.86054,1.76734,0.04474,10.76935,5.42878,1.60438,10000
12.63404,0.14296,0.85804,1.76543,0.04498,10.80767,5.42219,1.60753,10000
12.72624,0.1456,0.85551,1.76352,0.04522,10.846,5.42388,1.6034,10000
12.81844,0.14823,0.85299,1.76161,0.04546,10.88432,5.42495,1.60422,10000
12.91063,0.15069,0.85041,1.75966,0.04573,10.92265,5.43114,1.60625,10000
13.00283,0.15291,0.84774,1.75766,0.04603,10.96097,5.42467,1.60402,10000
13.09503,0.15499,0.84515,1.75556,0.04633,10.9993,5.4281,1.60042,10000
13.18723,0.1568,0.84273,1.75325,0.04665,11.03762,5.42073,1.60289,10000
13.27943,0.1586,0.84031,1.75093,0.04697,11.07595,5.42425,1.59993,10000
13.37163,0.16041,0.83789,1.74862,0.04728,11.11427,5.42279,1.60336,10000
13.46383,0.16268,0.83563,1.7467,0.04758,11.1526,5.4294,1.60531,10000
13.55603,0.16495,0.83337,1.74479,0.04787,11.19092,5.42606,1.60201,10000
13.64823,0.16767,0.83111,1.74296,0.04808,11.22925,5.41922,1.59987,10000
13.74043,0.17043,0.82885,1.74113,0.04828,11.26757,5.41802,1.60458,10000
13.83262,0.1732,0.82659,1.73931,0.04849,11.3059,5.42043,1.60228,10000
13.92482,0.17583,0.82431,1.73712,0.04867,11.34422,5.41927,1.59946,10000
14.01702,0.17837,0.82203,1.73467,0.04884,11.38255,5.42026,1.60018,10000
14.10922,0.18074,0.81972,1.73221,0.04902,11.42087,5.41833,1.5969,10000
14.20142,0.18293,0.81739,1.72975,0.04922,11.4592,5.42402,1.60301,10000
14.29362,0.18512,0.81505,1.72729,0.04941,11.49752,5.4215,1.60122,10000
14.38582,0.18733,0.81269,1.72494,0.04962,11.53585,5.42398,1.60421,10000
14.47802,0.18961,0.81019,1.72325,0.0499,11.57417,5.42206,1.59941,10000
14.57022,0.1919,0.8077,1.72152,0.05018,11.6125,5.41774,1.60171,10000
14.66241,0.1942,0.8054,1.71928,0.05046,11.65082,5.42267,1.59707,10000
14.75461,0.1965,0.8031,1.71705,0.05074,11.68915,5.42184,1.59655,10000
14.84681,0.19881,0.80081,1.71481,0.05101,11.72747,5.42628,1.60269,10000
14.93901,0.20113,0.79859,1.7122,0.05125,11.7658,5.42833,1.60076,10000
15.03121,0.20347,0.7964,1.70944,0.05148,11.80412,5.42762,1.60024,10000
15.12341,0.20592,0.79414,1.70672,0.05169,11.84245,5.42889,1.60494,10000
15.21561,0.20843,0.79185,1.70402,0.05188,11.88077,5.42933,1.60454,10000
